------------------------------------------------------------------------------------------------- Source: sample1.mfc --------------------------------------------------------------------------------------------------
  Sample Bytes:  104      Sample Kind:   MFCC_D_Z_0
  Num Comps:     26       Sample Period: 10000.0 us
  Num Samples:   1032     File Format:   HTK
------------------------------------------------------------------------------------------------ Observation Structure -------------------------------------------------------------------------------------------------
x:      MFCC-1  MFCC-2  MFCC-3  MFCC-4  MFCC-5  MFCC-6  MFCC-7  MFCC-8  MFCC-9 MFCC-10 MFCC-11 MFCC-12      C0   Del-1   Del-2   Del-3   Del-4   Del-5   Del-6   Del-7   Del-8   Del-9  Del-10  Del-11  Del-12   DelC0
--------------------------------------------------------------------------------------------------- Samples: 0->200 ----------------------------------------------------------------------------------------------------
85:    -10.757   2.499   1.390   1.374  -1.827   8.742   4.152   2.848   1.155   5.230   1.113  -0.291 -10.271   3.037   4.044   2.879   0.644   0.688   0.149  -2.177  -1.041   0.393  -0.217  -1.249   0.610   1.235
86:     -9.048   3.561   2.139   0.767  -1.272   9.980   2.821   0.011   1.481   3.455   0.525   0.942  -9.773   5.936   5.314   2.909  -0.887  -1.763  -0.926  -0.350  -0.569   0.309  -0.586  -0.771   0.447   2.932
87:      5.909  18.729  14.449   5.911  -2.889   1.710  -7.525  -4.088  -0.155   4.255  -3.241  -2.814  -2.962   6.696   5.112   2.241  -1.469  -2.683  -2.003  -0.233   0.224   0.448  -0.544  -1.589  -1.206   3.378
88:     12.756  20.571   9.122  -4.740 -12.478   3.162   5.093   2.111   2.117   1.209  -3.976  -3.503   1.285   5.386   3.025   0.294  -2.062  -2.653  -1.311   0.759   1.134   0.696  -0.488  -1.662  -1.003   3.093
89:     11.823  19.554   9.104  -3.216  -9.638   2.135   1.853   2.919   3.078   3.634  -4.582  -4.097   1.090   2.196  -0.577  -1.791  -2.035  -1.009   0.132   1.425   1.185   1.041  -0.703  -1.667   0.071   1.699
90:     14.925  18.275   6.279  -4.977 -11.161   3.213   1.927   2.177   3.343   1.325  -7.113  -3.429   3.666   1.274  -0.821  -0.811   0.785   1.650  -1.682  -2.941   0.000   0.635  -0.482  -2.574   0.231   1.033
91:     15.803  16.993   6.913  -4.146  -8.593   2.343   1.183   1.803   4.438   0.683 -10.009  -2.496   4.341   1.056  -0.229   0.300   2.107   2.022  -3.090  -4.994  -1.012   0.718  -0.848  -1.938  -0.173   0.790
92:     17.134  17.745   6.164  -0.351  -4.751  -5.354  -9.277   2.671   4.613   0.276 -14.133  -3.149   4.822   0.150   0.386   1.647   3.016   2.591  -4.134  -7.308  -2.206   1.575   0.867  -0.596  -1.083   0.067
93:     15.997  18.674  10.659   5.004  -2.734  -9.029 -17.517  -2.391   6.033  -0.082 -10.765  -5.099   4.461  -0.251   0.707   1.578   2.205   1.878  -3.529  -7.409  -2.957   1.296   2.023   0.814  -1.434  -0.158
94:     15.581  19.363  12.639   5.528  -1.137 -11.773 -25.263  -6.757  10.420   6.041  -9.716  -7.542   3.943  -0.151   0.399   0.751   0.520   0.376  -1.678  -4.520  -3.173   0.798   2.155   2.400  -0.833   0.062
